Container length (in m) = 100
Container width (in m) = 200
Container depth (in m) = 400
Total number of bodies = 1000
Body radius (in m) = 0.5
Body mass (in Kg) = 1
Time step for running simulation (dt) (in secs) = 0.01
Initial coordinates =
13.330002 1.980003 125.690001 
83.960000 88.069998 218.560000 
84.040000 2.230002 301.919999 
99.429999 38.450001 339.040000 
78.040000 32.630001 49.890002 
95.310000 35.920001 172.220001 
53.570001 12.230002 228.190001 
11.910002 29.110001 306.899999 
27.210002 40.980000 175.680000 
93.260000 46.890000 90.550001 
31.350001 18.070001 97.440001 
18.930002 14.390002 303.269999 
34.480001 53.760000 130.000001 
46.670001 84.239999 375.509998 
63.590001 58.369999 295.699999 
53.930001 26.200001 262.720000 
52.880001 66.339999 63.830001 
36.020001 55.399999 325.649999 
15.260001 90.549999 323.329999 
21.960001 84.309999 350.559999 
16.380002 74.899999 344.789999 
51.320001 90.129999 283.929995 
56.250001 39.610000 268.660000 
79.260000 15.920002 244.720000 
54.030001 74.199999 180.780001 
89.070000 65.839999 108.280000 
51.680000 91.599995 281.050004 
26.320002 52.600000 19.460002 
8.880003 55.070000 159.160000 
22.349996 27.419991 361.600007 
6.270001 76.830000 394.529999 
70.470000 49.380000 35.680002 
5.780001 29.070001 381.079998 
92.670001 53.810000 227.140000 
19.050002 46.869999 114.660001 
52.430001 31.350001 201.060000 
11.540002 13.860001 175.150000 
63.150001 47.600001 325.319999 
68.050001 49.009999 195.710000 
38.230001 65.209999 130.860001 
23.320001 44.770000 354.149998 
25.130002 2.000002 152.200000 
72.090001 19.900001 188.570000 
39.990003 33.620001 171.760000 
41.979998 27.680004 303.169998 
82.970000 99.469998 372.799998 
38.220000 36.520000 292.780000 
22.090002 22.920001 257.240000 
57.000001 98.989998 321.519999 
49.310000 22.580001 370.879998 
22.340001 71.789998 148.530001 
56.050000 19.220001 147.260000 
97.650000 84.859998 189.050000 
78.890000 27.080001 129.490001 
21.130002 63.559999 206.630000 
79.420000 39.620002 267.149999 
61.250000 98.869998 64.210001 
97.660000 41.680001 237.630000 
30.330001 97.619998 106.040000 
71.580001 58.929999 253.770000 
45.240002 24.300000 143.260000 
79.020000 31.490001 137.030000 
46.500002 61.380000 74.330000 
35.110002 88.139999 57.980001 
32.920001 3.300003 145.400001 
4.490002 57.330000 191.030000 
68.020001 55.439999 169.540000 
40.670001 75.309999 362.829999 
2.070002 90.089999 283.350000 
21.760002 20.480001 214.890000 
35.320001 72.069999 109.410000 
58.720002 61.360000 90.120000 
87.590000 24.570002 76.400001 
38.430001 53.680000 14.890002 
74.960000 20.550001 233.220000 
55.190000 39.300000 9.950002 
66.619999 69.110000 67.590001 
76.679999 20.810001 167.380001 
63.470000 66.459999 80.960001 
2.760003 54.829999 299.690000 
77.940000 52.930000 42.580002 
13.780002 49.119999 350.019999 
9.080002 7.830001 39.760001 
32.920001 16.740001 371.399998 
33.630001 39.470000 112.640001 
65.550000 78.319999 32.510002 
23.130001 19.560001 39.570002 
10.630002 93.809999 59.170001 
87.180000 9.420002 89.440001 
70.700001 65.259999 280.100000 
68.650001 33.650001 335.639998 
39.730000 17.180001 390.049998 
29.130001 30.720000 8.040002 
91.430001 45.340002 300.919998 
65.640000 57.870001 84.500001 
1.560009 42.550000 358.849996 
15.120001 99.349998 57.930001 
145.650000 36.730001 16.450002 
111.880000 16.090002 273.840000 
173.339999 88.859998 156.280000 
170.189999 27.340002 289.679999 
110.450000 87.829999 376.689998 
187.569999 95.649998 327.649999 
153.070000 1.010002 104.020001 
152.769999 22.830001 346.409998 
133.109999 22.420002 179.330001 
105.900000 77.649999 391.059998 
186.579998 30.070001 165.200001 
103.030000 45.520000 205.580000 
112.219999 8.260002 339.799999 
131.859999 56.610000 296.650000 
113.300000 57.710000 316.509999 
184.859998 48.200000 107.820001 
151.859999 89.219998 61.800001 
181.009997 27.850001 288.999999 
198.769997 71.960000 86.580000 
188.939997 19.390001 269.589999 
142.949998 39.960001 312.449998 
168.689999 75.819999 43.690001 
157.139999 11.250002 324.019999 
154.029999 72.579999 199.890000 
111.160000 68.739999 178.220000 
137.499999 69.459999 366.459998 
125.790000 48.700000 94.650001 
141.129999 23.730001 36.070002 
119.579998 78.519994 137.399997 
170.659999 49.880000 157.720001 
135.189999 42.840000 224.370000 
182.859998 31.710001 186.480000 
101.320000 17.220002 230.760000 
178.469998 38.380000 182.960000 
177.109999 51.190002 116.590002 
127.699999 55.240000 209.250000 
103.629999 93.319997 202.299999 
172.199999 83.049999 83.670000 
138.429999 36.460001 377.919998 
147.769999 95.989998 98.820000 
177.759999 37.590001 388.869998 
139.499999 62.930000 354.009999 
107.890000 60.980000 144.710001 
124.640000 83.449999 52.550001 
177.819998 72.329999 277.110000 
126.829999 13.270000 78.900001 
191.499999 99.169998 369.349999 
192.939998 2.090002 153.570000 
134.699999 71.779999 295.439999 
112.480000 44.820000 57.260002 
151.459999 83.339998 106.010000 
120.580002 6.870002 78.060000 
145.739999 11.090002 37.470001 
194.719998 78.239999 338.639999 
169.179998 80.139999 117.810000 
195.429997 46.290000 164.310000 
101.899999 58.359998 299.300001 
126.359999 63.519999 249.800000 
129.140000 29.380001 28.640002 
175.509998 67.029999 195.840000 
129.219999 8.990002 63.940001 
154.910000 57.370000 168.630000 
158.379999 59.530000 70.430001 
129.219999 65.669999 163.060000 
144.150000 16.330002 203.160000 
108.740000 3.930002 381.129998 
132.820000 32.210001 220.060000 
193.499998 77.809999 101.300000 
146.179999 98.949996 257.899999 
167.539999 36.950000 396.229998 
160.999999 10.210002 207.880000 
109.959999 33.050001 166.970001 
175.929998 80.519998 196.800000 
124.199999 62.530000 260.949999 
125.610000 48.810000 231.199999 
125.899999 4.470003 75.510002 
139.360000 42.070000 308.690000 
130.800000 36.300000 44.290002 
196.119997 54.220000 261.210000 
105.890000 82.049998 220.890000 
133.000000 86.309999 370.279998 
124.610000 68.119999 157.970001 
132.069999 1.630002 172.490000 
130.310000 62.279999 35.070002 
115.530000 45.000001 195.980001 
112.480000 43.250000 65.750001 
107.880001 85.419998 342.439999 
122.070000 29.030001 379.069998 
149.799999 75.439999 254.319999 
163.489999 87.099997 324.169997 
181.769998 2.800002 271.159999 
129.300000 31.950000 183.790000 
168.329999 34.610001 42.320001 
161.459999 21.600001 109.550000 
104.150000 42.190001 155.320001 
158.429999 28.400001 204.509999 
175.249999 17.870001 391.509999 
190.539998 66.770000 67.960001 
138.980000 85.609998 329.569999 
157.709998 78.289999 100.420001 
144.579999 70.850000 330.629999 
168.529998 50.930000 68.160001 
124.159999 50.050000 50.300002 
137.189999 87.239998 291.720000 
135.449999 51.030001 356.519998 
106.040000 46.700000 147.730001 
144.710000 10.630002 238.310000 
192.099997 59.320000 158.100000 
182.299999 77.379999 311.049999 
190.239998 60.190000 285.350000 
151.569999 77.169999 304.499999 
179.979998 44.930001 157.990001 
137.000000 33.560001 270.979999 
109.240000 10.770002 55.080001 
128.490000 6.740002 122.820001 
108.250000 19.710001 362.699998 
199.029997 38.600000 147.690000 
112.540000 83.639998 348.519998 
175.279998 49.340000 179.900000 
150.160000 59.280000 8.220002 
192.919997 19.220001 257.080000 
160.749999 59.169999 192.720000 
118.570000 18.160002 305.909999 
199.129998 90.369999 267.160000 
182.749998 39.170000 216.830001 
191.089998 86.949999 286.910000 
142.959999 20.710002 220.260000 
191.609998 66.979998 154.120001 
102.320000 94.849998 149.760000 
179.229999 59.330000 87.650001 
198.959997 73.389999 167.990000 
132.939998 51.669999 94.190001 
188.079998 16.460001 247.470000 
184.449999 95.869999 25.500001 
182.869998 36.310000 224.050000 
133.970000 70.250000 12.010002 
172.379999 86.339999 9.150002 
164.539999 30.350001 254.440000 
130.150000 7.050002 237.830000 
171.949999 40.440001 123.620000 
158.249999 5.000003 233.750000 
125.720000 16.040003 46.200001 
193.319997 73.290000 311.999999 
102.730000 62.990000 365.689997 
124.069999 72.419999 281.180000 
180.399998 73.789999 207.630000 
191.609998 2.970002 236.290000 
107.780000 24.710001 290.210000 
177.569999 26.470001 370.459999 
191.279998 70.310000 384.069999 
131.279999 36.840002 93.490001 
104.250000 22.760002 95.960000 
113.700000 79.909998 169.680001 
140.520000 77.069999 397.969998 
171.349998 58.169999 253.550000 
190.789998 33.510001 104.430001 
137.559999 69.259999 108.790000 
105.660000 14.950002 344.649999 
156.749999 10.230002 79.020001 
177.919998 53.180000 166.780000 
127.719999 20.290000 43.420002 
113.410000 49.460000 85.820001 
173.179999 98.989999 16.290001 
144.289999 38.340001 196.870000 
157.449999 44.190000 279.989999 
160.430000 47.500000 24.760002 
171.309999 91.429998 299.799999 
164.799998 64.369999 211.580000 
158.119999 13.940002 255.629999 
120.979999 83.719998 172.150000 
164.219999 46.980000 231.470000 
171.279999 14.960002 215.150001 
136.669999 87.069998 349.129998 
167.909998 84.259998 208.580000 
124.689999 8.660002 288.790000 
181.790000 92.949998 387.849997 
189.399997 25.190001 180.150000 
105.850000 82.939998 316.049999 
112.479999 63.420000 287.350000 
103.400000 33.460001 378.429998 
117.960000 51.470000 201.970000 
166.329999 47.480000 57.900001 
188.289998 78.819999 278.890000 
189.239998 76.899999 352.289999 
150.789999 35.960001 53.000001 
147.889999 83.359998 199.820000 
119.749999 33.380001 68.670001 
195.269998 92.699999 27.690001 
157.989999 58.470000 352.219999 
130.169999 16.560002 170.030001 
153.009999 49.100000 258.259999 
161.579999 15.270001 237.240000 
131.949999 42.580000 181.300000 
179.359998 89.429998 264.150000 
151.509999 3.410003 199.560000 
198.799998 88.420000 384.079998 
173.280001 16.700003 104.019999 
165.279999 29.990001 262.519999 
152.149999 32.550001 229.440000 
124.679999 50.990000 363.319998 
128.950000 26.570003 183.840000 
189.529998 85.599998 85.290000 
112.750000 12.730002 319.739999 
130.729999 42.850001 168.750001 
122.329999 25.020001 334.039999 
184.789996 64.679999 4.850000 
191.399997 49.149997 378.419999 
164.089999 15.320002 140.770000 
137.439999 61.450000 279.150000 
154.419999 46.930000 189.910000 
135.170000 72.229999 336.289999 
110.850000 52.940000 389.309998 
128.600000 68.479999 98.670001 
159.659998 89.789998 228.200000 
136.260000 51.729999 391.519997 
165.059999 44.400000 252.389999 
119.840000 51.780000 101.570000 
194.759998 56.280000 88.910001 
180.739998 0.560002 204.340000 
154.669999 14.560001 381.469998 
140.099999 89.969999 52.190001 
178.629999 82.719999 73.440001 
196.239998 94.959998 256.660000 
169.270000 98.919998 383.149999 
142.389998 93.639998 215.590001 
158.279999 24.760002 288.329999 
181.509998 25.880001 271.309999 
129.720000 40.620001 98.279999 
112.790000 57.199999 367.939997 
181.839999 47.790000 16.280002 
116.380000 97.679998 115.990001 
198.899997 90.669999 305.490000 
180.359998 42.930000 245.540000 
160.469999 60.530000 84.260001 
167.669999 42.280000 21.740002 
131.299999 48.530001 157.900001 
172.759999 12.780002 274.259999 
190.109999 45.720004 378.809999 
184.359999 10.170001 392.369999 
138.980000 93.729998 62.280001 
114.350000 51.910001 362.859999 
124.360000 97.859997 197.720000 
118.510000 5.620002 135.150000 
110.790000 51.950000 265.150000 
167.999999 59.599999 146.420001 
173.739998 15.800001 219.939998 
177.969998 71.689999 50.030001 
176.999999 7.750002 298.039999 
143.659999 71.179998 145.350001 
133.800000 95.279998 34.330001 
119.240000 76.790002 135.190006 
105.780000 66.319999 40.000002 
150.609999 76.289999 345.649998 
105.210000 24.870001 59.110001 
160.179999 0.650003 244.360000 
182.419999 18.280001 25.780001 
153.039998 38.490002 340.439998 
120.150000 95.459998 344.279999 
109.630000 78.469999 289.379999 
134.819999 38.830001 86.600002 
169.029999 70.649998 166.240000 
173.569998 42.280000 268.619999 
161.059998 26.330002 198.000001 
196.229998 75.769999 80.800001 
127.250003 88.759999 5.760001 
179.919999 35.550001 134.600000 
178.189998 69.539999 185.850000 
122.370000 76.189999 110.540001 
157.839999 2.980001 4.510002 
138.489999 69.109999 177.470000 
162.329998 56.910000 170.510000 
101.519999 55.700000 302.829997 
193.309997 42.830000 246.310000 
128.110000 38.040001 399.239997 
104.360000 9.220002 364.159998 
117.189998 73.410001 144.499996 
199.209998 9.280001 91.980001 
108.240000 12.920002 138.100000 
181.599998 7.710002 183.380001 
179.649999 91.539999 370.579999 
192.559998 88.299999 322.829999 
151.499999 55.570000 332.209999 
188.719997 30.820000 258.610000 
109.040000 73.159999 241.830000 
184.339998 47.410000 43.540001 
172.289999 21.770002 260.280000 
162.629999 59.420000 319.280000 
168.099999 43.270000 242.160000 
191.729998 96.339998 311.229999 
146.809999 86.199998 303.099999 
196.849998 45.800000 81.510001 
182.119998 18.070002 259.950000 
113.180000 75.689998 254.820000 
183.839997 34.750001 231.389999 
163.739998 32.080001 312.159999 
150.139999 0.920002 268.459999 
191.479997 43.400000 188.300000 
107.200000 78.629998 273.760000 
116.870000 15.400002 293.169999 
137.599999 96.769997 198.560000 
174.519999 11.590001 344.919999 
154.999999 68.789999 89.170001 
123.030000 7.710002 34.290002 
150.520000 42.649999 338.759999 
129.009999 98.209997 346.849999 
164.699998 72.219999 256.580000 
155.869999 14.090001 94.010001 
120.700000 35.680000 23.670002 
155.169999 37.480001 304.979999 
198.719998 14.180001 145.150000 
122.370000 85.439998 220.470000 
141.309999 82.839999 33.130001 
148.089999 35.880001 398.339998 
116.470000 19.780001 122.720001 
155.089999 44.570000 1.930002 
123.129999 69.859999 316.429999 
147.599999 80.549998 332.829999 
171.599998 37.790000 284.600001 
192.149996 34.700000 123.930004 
155.479998 92.859998 261.469999 
119.429999 46.740000 74.610001 
115.630003 74.499998 141.890003 
134.759999 11.110003 322.059999 
137.320000 78.799999 78.940001 
140.739999 27.260001 234.069998 
169.229999 31.100001 22.160002 
166.679998 25.920001 322.549999 
143.959999 49.260000 103.780000 
136.849999 62.539999 150.240002 
138.969999 55.209999 386.769999 
165.639999 36.880001 159.540001 
180.979998 79.419999 233.300000 
184.739998 71.740000 366.139999 
185.619999 66.100000 351.779999 
134.440000 88.499998 103.710001 
115.220000 94.429997 274.660000 
190.580000 34.560000 127.179997 
128.230000 47.420000 309.259999 
157.289999 4.850002 344.119999 
137.970000 37.450001 257.630000 
197.259998 50.830001 338.119999 
121.689999 37.410001 149.750001 
147.769999 9.320002 307.050000 
176.399998 66.879999 152.980001 
105.950000 66.509999 270.530000 
164.079999 60.549999 163.150001 
145.389999 62.389999 212.950000 
145.829999 42.070001 183.510001 
183.939999 88.450000 384.979999 
187.859998 87.139998 192.990000 
126.979999 97.509998 149.540000 
147.470000 88.299999 395.359998 
161.989999 33.940000 111.060001 
118.129999 85.549998 290.959999 
180.699999 73.810000 385.209998 
195.869999 94.079998 382.529999 
106.250000 62.719999 84.790001 
174.159998 52.670000 300.939999 
163.150000 93.469999 22.160001 
163.639999 68.589999 59.810001 
175.789998 6.070002 107.300000 
